Amount,AuditTrial,ClearingSystem,Currency,CustomerSegment,Description,ExchangeRate,Fee,FromAccountID,MerchantName,PaymentDate,PaymentID,PaymentType,ToAccountID
55337.98,Trial reality animal million agency we know plant speak.,ACH,EUR,Corporate,Crime very data.,0.7,72.54,9890792516614,"Johnson, Kennedy and Martinez",2024-06-07,1001349648,Online Transfer,5713694634446
176268.2,Left those out success card sea become task trip second national keep.,ACH,USD,Retail,Attorney little most decide.,1.48,63.74,7877607607670,Walsh Group,2024-04-08,8363964872,Credit,6033243352814
163533.12,Picture school benefit hit reach option star.,SWIFT,EUR,Retail,Why recent loss exactly determine speech.,0.51,96.96,2752954407939,Brown PLC,2024-02-22,1887830528,Online Transfer,6514211157967
90469.87,Process well several service person talk meeting economic long mean.,RTGS,EUR,Retail,White power law green.,1.37,53.31,8573763836243,Taylor Inc,2024-04-10,8503643915,Online Transfer,2354629408253
48961.5,Moment whose local piece speak concern man.,RTGS,GBP,Corporate,Option as grow.,1.08,21.45,6199613995594,Mejia-Garcia,2024-02-28,7791189176,Cash,5784238166330
97870.37,I may growth east enough whatever benefit hold morning investment chance.,SWIFT,GBP,Retail,Manage determine view wife where next.,0.58,77.3,7369783664908,Davis Inc,2024-06-05,5050654166,Credit,1488714018349
117046.67,Side exactly way toward walk always walk us buy reach.,RTGS,EUR,Corporate,Certain sea tax under top.,0.66,94.69,3858609803226,"Schmidt, Thomas and Jones",2024-06-03,9243517718,Online Transfer,9377861426378
8582.71,Cup receive college threat last make not late.,RTGS,USD,Corporate,Woman heavy suffer PM as community.,1.26,57.22,1141869161206,Thompson-Bell,2024-03-26,6237790066,Cash,1165214626662
82499.16,Gun thank continue although three employee school.,SWIFT,GBP,Retail,Responsibility the trial.,1.05,27.77,2380425375808,"Taylor, Wagner and Stone",2024-01-12,2016941784,Credit,6195474038675
28472.2,Respond middle pull attorney interest open she letter allow officer role sea.,SWIFT,GBP,Corporate,Write message choice boy each seek.,1.41,84.07,9284091611169,Kelly PLC,2024-01-09,6851517522,Online Transfer,6275993929778
29214.94,Discover dark amount stand other off strategy charge adult.,ACH,GBP,Retail,Know more require career wait push.,1.43,40.21,8152017616164,Mcclure Ltd,2024-07-14,1258897258,Cash,1809120270188
1844.21,Parent within fill stuff television response enjoy upon we item.,RTGS,USD,Retail,Visit fire science manage.,0.98,7.89,8752603146457,Anderson-Todd,2024-02-18,9943894279,Online Transfer,7676356004756
97065.76,Traditional buy report agreement tell language be rate question public close.,RTGS,GBP,Retail,Add back across.,1.28,1.21,5368830091666,Taylor-Patton,2024-05-06,8518301161,Cash,6191896106763
87110.15,Get more become purpose treat news.,SWIFT,USD,Retail,Pm throughout air trial morning however.,0.86,89.26,7024181670040,Ryan-Herrera,2024-02-09,2067905532,Credit,3725512256307
189447.11,Offer travel left each local southern activity baby three artist western hospital.,RTGS,EUR,Retail,Especially fire term.,1.07,12.53,8327485618582,Torres PLC,2024-04-27,2146850277,Credit,9960382899983
71009.27,Market be red owner design itself success accept traditional.,ACH,GBP,Corporate,Where most vote region.,0.92,36.49,6117278463944,Irwin Inc,2024-05-22,1788071403,Credit,1857738905224
183861.09,Figure where someone child sometimes lose wait who member.,RTGS,EUR,Retail,Religious nice term event book section.,1.04,29.0,7808338603606,Morales Group,2024-05-22,7133530655,Cash,5291289492296
85401.5,Above establish television mother cell contain soldier mouth finish impact foot.,RTGS,EUR,Corporate,We discover particular it work prepare.,1.12,32.01,8351202944550,Walker Group,2024-06-03,6507769255,Credit,4620808163152
110813.06,Church project mouth sometimes threat ground you entire base.,RTGS,GBP,Retail,See paper themselves account.,1.3,23.3,2789693564211,"Mitchell, Turner and Mcfarland",2024-06-25,1455066262,Cash,8659868616518
136888.17,Dark dog political work score task.,ACH,USD,Corporate,Boy list single help.,1.16,45.03,7895646707828,"Ramirez, Gonzalez and Goodman",2024-05-31,4218336427,Online Transfer,3980178877395
91278.04,My option everyone whether carry miss threat win way break little finish.,RTGS,GBP,Corporate,White few our where lead forward.,0.7,30.63,3078672635315,Chandler LLC,2024-01-16,3054425574,Credit,1885855653178
86674.95,Nearly easy loss fill them result natural base Republican no here rate reflect.,ACH,USD,Retail,Partner truth size.,0.68,89.67,6027529112700,Dean Group,2024-05-08,5252459074,Cash,6870228538711
76326.34,Program morning care near however boy close according grow president mind source.,RTGS,GBP,Corporate,Memory reflect other.,0.99,7.95,7797913611692,Douglas PLC,2024-06-29,9732585067,Credit,6209495894215
182481.22,Manage young cold beyond visit idea at customer only fill.,SWIFT,EUR,Retail,Model fish onto prevent travel sing.,1.25,79.84,6671624563043,Cabrera-Thomas,2024-05-28,2583506874,Online Transfer,9930475502156
26309.08,Experience create high point time response.,RTGS,EUR,Retail,Spend medical finish.,0.98,79.75,6661751703243,"Hill, Kelly and Austin",2024-04-05,9184751297,Credit,4385654961933
8867.39,To wind build information try some worry learn.,ACH,USD,Corporate,Speech turn dream collection.,1.11,33.46,8880771939219,James-Hardin,2024-02-06,9862170251,Online Transfer,4103225459510
95212.41,Rise level significant father piece full eight available part throughout charge analysis.,ACH,GBP,Corporate,Strong newspaper usually recent.,0.54,84.64,6846315420810,"Francis, Rodgers and Stout",2024-02-27,7698384980,Credit,3702781258592
50478.36,Charge hair who economic free contain build case along land.,ACH,GBP,Retail,Prove window cup hard clear clear.,0.74,67.77,8170329407913,"Montgomery, Perry and Freeman",2024-05-08,2367407187,Online Transfer,3624206673806
24894.16,Letter project adult theory image capital year shake.,ACH,EUR,Corporate,Thousand just public itself.,0.57,35.36,5746184968598,"Mitchell, Nelson and Wright",2024-05-17,5558711800,Cash,1974766593017
49071.22,Serve discussion notice radio eight red seek not anything chair next.,SWIFT,EUR,Corporate,Trip rise poor page society long.,0.93,19.58,9495622372577,"Huff, Howell and Gonzalez",2024-03-22,1469888470,Online Transfer,5948617683923
37696.15,Station government with direction word pull floor magazine understand.,RTGS,GBP,Retail,Skill involve book sense.,0.67,21.97,2797253227581,Powell Ltd,2024-03-20,6128093257,Online Transfer,5428477607242
104641.4,Artist drop talk establish north reason clearly focus check five break piece.,SWIFT,GBP,Retail,Million maintain book court again.,1.34,47.23,1064153128748,Gamble Group,2024-06-13,1720124568,Online Transfer,8161997195895
144778.36,Item relate focus reveal occur stop way receive.,ACH,GBP,Retail,Level make conference.,0.91,42.09,3838895979646,Walls Inc,2024-07-12,4678383674,Online Transfer,7639453818509
115502.83,Consumer blood population power maintain thus.,ACH,USD,Corporate,Set policy Congress say.,1.33,72.88,5234063012520,Ray LLC,2024-07-20,9777847674,Online Transfer,9131153695147
150726.01,Next meet grow base production note marriage.,RTGS,USD,Retail,Either whom according there watch.,0.89,89.51,1117750344847,Pena LLC,2024-01-06,3017613236,Cash,8577840604234
61879.33,Set employee partner yet pressure fly performance one together guess population anything.,SWIFT,GBP,Retail,Best game goal race under.,0.61,34.57,7334830169821,"Kelly, Guerra and Johnson",2024-03-16,2908360346,Online Transfer,2593603447561
135449.75,Attorney doctor apply once that share point Mr body somebody pressure level.,SWIFT,GBP,Retail,Create commercial shoulder heart.,1.2,84.74,6922043419979,"Moore, Holt and Dawson",2024-02-19,4772299324,Online Transfer,5084881817015
178280.29,Believe operation wind according American energy western want court issue field daughter.,RTGS,USD,Retail,Quality themselves majority leave.,1.22,65.12,2506731128872,Cook Ltd,2024-04-16,4480019637,Online Transfer,7763853772130
99571.85,Before within fall so authority mean job cause fast wide somebody fact few.,ACH,EUR,Corporate,Ahead table myself.,1.32,37.8,8705792256344,Stein-Tucker,2024-05-06,1564656729,Cash,8970688228296
10058.31,Own project available sense listen look share story especially whom citizen against.,ACH,EUR,Corporate,Film common against maybe want.,1.28,31.63,5435179738454,Sellers Ltd,2024-03-22,3043536039,Online Transfer,7409400791682
64070.98,Want deep road order once history somebody direction community thank former field open.,ACH,USD,Corporate,Work future whole crime employee movie.,1.44,62.6,4485214943288,Dodson-Morrison,2024-02-27,9193641620,Cash,1354923991798
150225.29,Cause stock popular tell author member either assume view over.,SWIFT,USD,Retail,Sort sign address indicate low.,0.51,3.1,1561721389108,Guerrero LLC,2024-05-19,9235685176,Cash,2366665975091
97918.75,Data set sea office exactly interesting network season turn many.,ACH,GBP,Retail,People thus build thus condition item.,0.64,33.89,5983179878931,"Bradley, Hernandez and Choi",2024-05-29,9722414068,Online Transfer,6871129545655
173512.41,Dog person draw partner forget interest.,SWIFT,USD,Retail,Country Democrat dream expect exactly.,1.08,19.83,6856776818195,Cunningham Group,2024-04-16,2398410650,Cash,8639347801832
111196.01,Rich including and like rich officer follow perhaps but culture become.,RTGS,EUR,Corporate,Machine machine stay fall just measure.,0.59,10.23,3165297957572,"Boyd, Ray and Barrett",2024-06-24,6828121478,Cash,2644502590839
19174.78,Within decision four admit responsibility challenge.,ACH,USD,Corporate,Plant lot bank game social term.,0.62,6.6,1602225430085,"Rowe, Meyer and Garcia",2024-06-06,3275992739,Cash,1961134001957
129976.93,Practice business try describe Republican daughter report opportunity leg degree benefit time.,ACH,EUR,Retail,Believe senior staff.,1.38,57.01,9701949804913,Berg Ltd,2024-02-25,1333577987,Cash,8851239610615
165351.62,Their word price sing happen laugh heavy.,SWIFT,GBP,Corporate,Contain music a.,1.18,97.38,2168273608401,Bailey LLC,2024-01-14,6364544455,Cash,3819653151092
31315.96,Rather finish special offer worry training crime simple perhaps apply certain sea describe.,ACH,EUR,Retail,While outside heavy as.,0.54,18.2,1409895148936,Stewart LLC,2024-01-30,6851839494,Online Transfer,2172057838721
180165.02,Close court expect great offer list.,RTGS,GBP,Corporate,Home fly professor.,1.35,26.17,6974135503466,Conner Ltd,2024-07-10,3280824866,Cash,3837572571770
173832.65,Mother reality over spend election mention.,SWIFT,GBP,Corporate,Common book game consumer particular boy.,0.52,39.3,5140510579772,"Preston, Williams and Frazier",2024-02-10,6244334143,Cash,7236680768885
136362.28,Blue major situation major rise market relate relate lead economy.,ACH,USD,Retail,Worry spend chance pass.,1.2,32.33,5732765842730,Guerra LLC,2024-05-07,1316524801,Credit,8938455755361
98524.17,Return participant sea level seat beat your imagine.,SWIFT,GBP,Corporate,All dinner word vote.,0.53,89.29,8483538166750,Long-Franco,2024-03-13,4803738177,Cash,4788761845416
82483.23,Image may nation perhaps never firm southern story catch check public entire.,ACH,USD,Corporate,Free arm week create.,1.44,6.27,4205786135227,"Wheeler, Berry and Daniels",2024-01-17,1127717008,Credit,3972770579738
103721.93,Must nearly page four gas audience throughout stand bed prove adult only lose.,SWIFT,GBP,Retail,College wish despite often.,0.75,37.89,9813002838902,"Jacobs, Smith and Aguilar",2024-03-30,4267329837,Credit,2150193087500
154227.9,New across sister she want dinner say manager work listen bad film forget approach.,SWIFT,GBP,Retail,Onto at blue give.,0.84,17.87,8999005232589,Sharp-Andersen,2024-05-12,4816082441,Cash,4277415920333
15322.48,Tonight talk themselves meet agree out make quite house.,RTGS,EUR,Retail,Miss natural husband keep hand.,1.28,74.43,8083394127386,Sherman-Brady,2024-06-30,9006564223,Credit,2635599167941
131467.84,Paper college general cause measure stock decide level part reason reach.,ACH,USD,Corporate,Paper light own experience.,0.98,17.59,7784070566034,"Kennedy, Porter and Smith",2024-05-03,7048013389,Online Transfer,1475865975395
23077.04,Near summer heavy pass blood ever.,RTGS,EUR,Retail,Teach though expert at couple.,0.68,39.13,3484232747070,Martinez-Jennings,2024-03-22,2712673873,Cash,7194746671069
130548.94,Four ball explain individual particularly federal account chair.,SWIFT,EUR,Corporate,Set together yes.,1.04,4.83,2557818113483,"Mercado, Bradley and Green",2024-04-02,6694388634,Cash,2892537134017
111783.41,Spring cover rise describe interest gun those develop trade minute.,RTGS,USD,Corporate,Effect though recognize election me play.,1.03,26.6,4424952190457,Jones-Allen,2024-04-21,8707980497,Cash,4240394990877
132477.4,Lead executive too all table part structure couple back.,ACH,EUR,Corporate,Fish style exist prepare.,1.36,68.15,3781912821193,"Jacobs, Garner and Weeks",2024-07-18,3640248004,Online Transfer,5092120730744
120318.55,Force key be ten word magazine agency maybe hot example national list.,SWIFT,GBP,Retail,Follow line ask image partner.,1.14,91.06,3083794291178,Williams PLC,2024-07-25,6940824711,Credit,8229272244578
150306.12,Late candidate reason even represent when lot see course.,RTGS,GBP,Corporate,Military back yet thing.,0.71,74.29,8955215542312,Henderson Inc,2024-03-18,7307086521,Online Transfer,2138918011288
4866.31,Stage anything chance national a can senior pressure.,RTGS,EUR,Retail,Today clearly bit.,1.15,87.55,5542145372635,"Robinson, Morales and Middleton",2024-01-01,9796272867,Credit,9607584869493
130409.47,Prepare above million exist purpose tonight enough.,ACH,GBP,Retail,Production behavior site.,1.13,36.78,2741881591962,"Vaughan, Ramirez and Barnett",2024-06-07,7727676360,Credit,7157033701709
120003.34,Start letter arrive its also sing kitchen.,RTGS,EUR,Corporate,Stop individual medical three what.,1.33,9.77,4493829559592,Blevins-Hampton,2024-02-07,5511562086,Cash,4667356052742
44414.1,Bill firm edge writer beyond represent gun health teacher year type discussion decision.,RTGS,EUR,Retail,Well detail foreign.,0.79,85.19,2586869980173,Hernandez-Wallace,2024-02-11,2023270257,Credit,2986472125068
62606.66,End detail human concern least art glass performance.,RTGS,EUR,Retail,Section among school.,0.73,72.25,3320363212001,"Hernandez, Gomez and Porter",2024-06-20,3886395107,Cash,1288937835404
28325.52,Financial learn nearly smile computer business board.,RTGS,USD,Retail,Kitchen require life.,1.11,59.6,6639390488327,Jones-Rodriguez,2024-06-08,2139839703,Cash,2339429440072
29987.52,Half difference service realize air key understand job its wonder current.,RTGS,EUR,Retail,Travel indeed three several probably paper.,1.07,1.38,7712434782892,Anderson LLC,2024-05-20,7070200907,Credit,3588011868605
50268.75,Kind since hot general often subject safe happen teacher region save travel character.,RTGS,GBP,Corporate,They ready purpose.,0.77,21.16,9279851858311,Lopez and Sons,2024-02-16,4352621787,Online Transfer,6253717955339
195874.37,Run difficult particular wall design sea issue standard with where pick wind cover.,ACH,USD,Retail,Hotel identify condition forget often.,0.84,55.07,9968637659940,"Chambers, Fuentes and Miller",2024-07-24,2160056860,Credit,7898376464002
96094.67,Discussion approach young of race lawyer property.,RTGS,USD,Retail,Here bring anything.,0.95,28.12,1952963845369,"Moreno, Lane and Liu",2024-03-16,7082305159,Credit,5766837781277
52959.33,Option tree trouble herself scientist wall too long fight.,ACH,USD,Retail,Big big sure no.,1.29,16.11,1086318802921,Castillo-Mccormick,2024-01-27,4361445995,Cash,7251198407381
109867.68,Thousand behind party half art feeling.,RTGS,EUR,Retail,Nearly discuss before company health.,0.73,91.46,8091013469888,"Vance, Roberson and Duncan",2024-04-27,3206282068,Online Transfer,8282347571239
3728.59,Wrong dog learn politics choose program thus professor.,RTGS,EUR,Corporate,Ago age body change.,1.1,69.04,8797599872867,Mitchell and Sons,2024-06-05,3517742519,Credit,8549010192194
55952.21,Notice break federal industry street instead civil purpose develop science front least once.,SWIFT,EUR,Corporate,Night after least low machine.,0.97,66.71,7974299684750,Silva and Sons,2024-04-16,5994912755,Cash,1220676487124
83934.96,Positive strategy foreign truth recent worry perform top it past price author certainly.,ACH,USD,Retail,Skin claim scientist push book.,1.01,24.6,5205272607523,Baxter-Reynolds,2024-01-03,6852438313,Cash,7391494172241
158649.43,Family along high will board pull personal area when.,RTGS,EUR,Corporate,Still everybody how benefit customer.,0.56,20.74,8326324573789,Walsh-Ramirez,2024-04-27,3680839275,Cash,3458936831871
115240.33,Office bit read others time work campaign shake to claim way property huge.,ACH,USD,Corporate,Painting admit country not develop east gas.,1.28,69.96,8181503712826,Johnson-Ortiz,2024-03-10,2278607830,Cash,4058752194416
54650.99,Happen this around if reduce lay discuss kind fine.,RTGS,GBP,Corporate,Series woman laugh around writer nor.,0.69,76.31,7956460560545,"Woodard, Melton and Martin",2024-02-10,7486613853,Credit,1990305306041
155257.95,Risk win finally last meeting mother table style require establish order.,ACH,GBP,Retail,Down group exist happen.,1.11,84.8,5535631831929,Owens Ltd,2024-07-12,1758373112,Cash,9449727455527
136111.26,Meeting follow member off go upon vote buy manage throw.,RTGS,GBP,Retail,Cause beyond attack down mother store.,0.6,44.16,5123358055619,Davis-Brown,2024-06-06,3471886217,Credit,3790088071968
76555.52,Garden real box which factor tend try major peace allow.,ACH,EUR,Retail,Study same assume here.,1.05,77.57,3775123262198,Bean-Jensen,2024-02-26,1088472815,Credit,6394508168665
168343.95,Look professional this road second step.,RTGS,USD,Corporate,Hold all middle fine style respond.,1.15,78.06,3504351194892,Olson-Mathis,2024-01-05,2730934272,Online Transfer,2745536387928
112167.46,Form source set bill public part fight trade gas other make war.,SWIFT,USD,Retail,All put oil minute open church.,1.16,54.35,9798811556354,Villarreal Group,2024-06-23,4222384519,Online Transfer,6727786065110
71279.49,Room source whom himself reach above sport walk career situation just.,RTGS,EUR,Corporate,According response interesting threat.,0.96,96.76,5392197155589,Hamilton-Brewer,2024-05-14,4270854941,Credit,2271084845983
57375.49,Nothing goal read community remember word election industry expert he provide short condition.,SWIFT,EUR,Corporate,Decision since age.,0.69,20.6,3421157033104,"Ward, Campbell and Clark",2024-02-11,3777560644,Cash,5287106957936
167877.52,Area street eat similar myself political model central arrive per performance everything eye.,ACH,EUR,Corporate,Car adult message let.,0.77,68.66,6890400883271,Lambert-Clark,2024-06-14,8790089626,Online Transfer,1764052717652
134176.44,Itself how several throw serious itself.,SWIFT,GBP,Corporate,This line and strategy marriage enter business.,1.03,85.48,3762120861545,"Smith, Edwards and Perry",2024-04-19,7456115955,Credit,2131913239914
164500.23,Stay social guess base college action.,RTGS,GBP,Retail,Mission today game however agent.,0.94,93.45,5250221545637,Gonzalez and Sons,2024-03-02,1290275302,Cash,2894702056618
145328.6,Dinner long before last cut knowledge only produce seem ahead.,SWIFT,USD,Retail,Score grow price.,0.64,41.65,1919068022911,"Bowen, Olson and Taylor",2024-03-10,5355084614,Credit,4674927263477
168766.17,Name you cost paper involve friend here especially member.,RTGS,EUR,Retail,Heart big visit throw.,0.76,45.82,7692681322723,Stanton and Sons,2024-01-21,7334455510,Online Transfer,5466044147121
65716.55,Against feel consider consider see anyone there attorney south.,SWIFT,USD,Corporate,Standard social bed skin project age.,0.58,62.18,3510792976565,"Brown, Gilbert and Garner",2024-06-19,1776036496,Online Transfer,9103059654669
45290.74,Boy alone glass matter animal Mrs only full girl.,RTGS,EUR,Retail,Arm fine or son world special.,1.31,15.64,1095293478573,"Rogers, Parks and Vega",2024-05-18,6314955219,Credit,1375412749235
139279.92,What office value especially marriage describe finish mother shake stuff position cut against.,SWIFT,GBP,Retail,Require process message include.,1.09,2.79,6076916790181,Lyons-Knight,2024-06-19,3691078030,Cash,2556085219233
22248.9,Result respond artist out service this blue.,RTGS,EUR,Corporate,Maintain always table her.,0.71,98.54,5077023336973,"Jordan, Horton and Morris",2024-07-15,4389838137,Online Transfer,4759896290524
69425.97,Future role attorney word cell purpose some loss current.,RTGS,USD,Corporate,Deep security strategy.,1.31,92.46,9330368613660,"Garcia, Holland and Long",2024-03-26,9065818561,Credit,7951947146599
120667.08,Will smile technology stage week choice film show own.,RTGS,EUR,Corporate,Say travel special magazine.,1.13,86.94,7307721463922,Hickman and Sons,2024-01-29,6736156203,Credit,8266269396489
172231.61,Question never impact heavy clear probably successful customer page evening capital.,ACH,USD,Corporate,Energy ball coach.,0.94,57.94,9584555535954,Green Ltd,2024-02-04,4720185520,Credit,5011481549243
164750.51,Southern information pretty four civil hope.,RTGS,USD,Corporate,Store particular card national western.,0.7,13.43,7351958464479,Doyle-Nichols,2024-07-21,1400763208,Cash,9686153505052
181888.34,Recent machine within soon this power kind.,SWIFT,GBP,Retail,Decision garden everyone consider eat enough.,1.45,7.81,6306933188000,"Quinn, Ward and Smith",2024-07-26,4758922516,Online Transfer,8931889345116
159390.47,Challenge cup expert product rate practice plan top call.,ACH,EUR,Corporate,Occur research always single.,1.01,23.34,4231650010464,"Meyer, Hensley and Johnson",2024-03-10,2791318564,Online Transfer,2722030999445
26194.9,Order style generation get entire find against city claim.,SWIFT,GBP,Corporate,Voice position paper one dog.,0.75,1.64,9978507626308,Allen-Becker,2024-01-31,2783427753,Online Transfer,2716824394890
154708.39,Citizen thank level sister current political young social.,ACH,USD,Retail,Increase we lose.,1.43,68.13,1718053965943,Abbott Ltd,2024-02-03,3280809173,Online Transfer,6507957839903
166232.91,Performance bring old develop that film affect music.,SWIFT,EUR,Retail,Style have include himself item someone.,1.46,87.08,3700481355090,Snyder-Fuentes,2024-02-14,5521674235,Credit,4879118427665
143099.64,Television century about parent heavy lawyer wide loss page feeling film plant capital.,ACH,EUR,Retail,Happen challenge yeah any ten according.,1.02,21.93,6083153855985,Mcmillan-Willis,2024-01-24,4699805962,Credit,4965576573709
65585.23,Why check offer six scene much attack agree walk style start.,SWIFT,GBP,Retail,Director young hospital.,0.9,75.64,4052162952079,Montoya-Cohen,2024-02-24,2893112173,Credit,3456026019700
28883.62,Carry husband perhaps vote build watch thank save pattern machine guess.,ACH,GBP,Corporate,Record effort beat program either.,0.79,14.51,7368686709432,Hunt Ltd,2024-06-29,7658725706,Cash,3442002239788
504.02,Yeah bill great society work performance point artist save else front feel bit.,ACH,USD,Corporate,Military summer modern cold into.,0.9,24.47,1313894482495,Gamble Ltd,2024-04-19,2643558759,Online Transfer,5341116771786
8420.08,Maybe end challenge civil leave buy heart any hand play.,SWIFT,EUR,Retail,Law pattern notice edge significant ever popular.,1.01,83.47,7521752663369,Adams PLC,2024-06-01,6869675041,Cash,3917682296101
88131.1,Positive suddenly scene into campaign someone scientist.,ACH,USD,Retail,We role always.,1.39,84.76,7156112299373,Flynn-Flynn,2024-02-01,2661124440,Online Transfer,7012945467979
170194.08,Meet notice stock record government ball explain fall live which entire draw.,SWIFT,GBP,Retail,Small building art support western.,0.66,82.98,3251484137353,"Rogers, Crane and Ortiz",2024-01-21,2578244194,Credit,8879523806869
188780.98,As political child sound money picture toward write no model.,SWIFT,EUR,Corporate,Head before write participant seven.,1.37,34.45,3114295372340,Martin Ltd,2024-06-18,9091447900,Credit,3233316536593
199354.84,Task describe law affect point may west mission generation yeah staff stand former.,ACH,EUR,Corporate,Born plant TV father language.,0.7,87.12,5373550774446,Curry-White,2024-04-29,7634107761,Cash,1976679494758
64771.88,Figure try woman region inside south box oil south agent human poor.,RTGS,USD,Retail,Reveal bar degree.,0.73,84.13,6865447063445,Sanchez-Cain,2024-02-09,6419767383,Credit,5736025996645
28597.13,Who effect west ground at piece traditional.,RTGS,GBP,Retail,Before against kind value study huge.,0.52,74.63,5236946917053,Mcdaniel-Pineda,2024-07-05,3562864658,Cash,4866250241065
72292.87,Factor easy they common whether explain wind sort industry Republican.,SWIFT,USD,Corporate,Type join drug whose.,0.6,32.46,9727849723818,Scott-Wilkins,2024-07-13,6630276614,Online Transfer,4909655876507
31899.98,Address culture citizen expert read politics.,RTGS,EUR,Retail,Low pattern day not.,0.77,93.64,8720289970018,Tate-Cunningham,2024-04-01,8452751183,Online Transfer,3596462074520
2003.67,Goal clear store computer consider him summer father positive language treatment.,ACH,EUR,Corporate,Statement something both leave.,0.57,21.21,7374344686545,Smith PLC,2024-01-14,2604985146,Credit,5302628792297
100590.19,Well responsibility charge front phone these.,SWIFT,EUR,Corporate,Officer story kitchen follow lay.,0.96,64.39,2705738489144,Smith and Sons,2024-07-09,4251027666,Online Transfer,1314760901496
10845.54,Instead Congress that little increase behavior bag mention.,SWIFT,EUR,Retail,Fear operation shake.,0.84,55.35,6263858179765,"Gibson, Garcia and Johnson",2024-03-01,7806388524,Credit,8585821011336
144739.72,Political imagine able southern rich sign simple statement.,RTGS,EUR,Retail,Cold kind effort.,1.12,2.85,4643591130799,Doyle LLC,2024-06-10,8105682448,Cash,7252043255045
62916.55,Teach wall race son somebody book happen type federal.,SWIFT,USD,Corporate,Put not medical near guess.,0.94,28.78,1462129845405,"Romero, Ballard and Smith",2024-04-11,8412464091,Online Transfer,8596157514688
131225.76,Area their performance receive argue at.,RTGS,GBP,Corporate,Western however mission analysis thus.,1.12,71.27,5881685860673,"Larson, Carter and Vega",2024-03-15,5221919092,Credit,9258868020084
76910.1,Either successful computer discover form kid account true he support line picture.,ACH,EUR,Corporate,Daughter even however thousand data approach.,1.43,30.65,8285305571653,Lyons-Brooks,2024-01-10,2709113161,Online Transfer,7716857142717
177508.56,Through church work step adult structure best threat course far.,SWIFT,USD,Corporate,Practice season bring ability board.,0.64,86.95,9511763546267,Johnson-Farrell,2024-06-02,7866127570,Credit,6688103832729
189973.6,Worker high ten option service sea hold onto economic commercial parent.,ACH,USD,Retail,Shoulder region stay option.,0.63,31.74,7095436529958,"Yang, Jones and Nguyen",2024-06-07,7286305362,Online Transfer,6250671172837
171369.65,Now power reduce receive necessary action.,ACH,USD,Retail,Either choose east similar.,1.39,32.05,7340312860283,"James, Ross and Everett",2024-05-11,5029312970,Credit,1002434664140
28696.36,Collection factor light art provide us environmental whether degree.,RTGS,GBP,Retail,Why himself gas mind question.,0.5,36.45,2200847937982,Warner-Mullins,2024-02-03,8935393171,Cash,4329149277192
23821.55,Science middle dream yeah send end.,SWIFT,GBP,Retail,Leave discover nearly TV easy law.,1.31,26.55,7015695750809,Parsons Inc,2024-04-27,5088786587,Online Transfer,4467574960562
134543.98,Loss course deal direction value force.,RTGS,USD,Corporate,Bill same too appear place prevent.,1.1,48.85,6497792728508,Hutchinson Ltd,2024-07-26,7793933488,Cash,8377431907376
4401.91,Different bad dark ask of drug out kind mission democratic.,RTGS,EUR,Corporate,Across but compare.,1.31,25.36,9601626872932,Parker-Glass,2024-04-26,3617048780,Credit,1963183930292
10295.68,Sure after notice could must field rock suggest hospital ahead.,ACH,USD,Corporate,Law good actually manage mind.,0.87,15.87,9648083012062,"Wade, Randall and Cantrell",2024-02-21,6809195469,Cash,1631136846628
68944.99,Agent town expect hear compare bit recent lead yourself discover.,ACH,GBP,Corporate,Same policy resource better.,1.18,31.99,4413675008161,Edwards Inc,2024-07-20,6062112612,Credit,5962599501699
191398.9,Set knowledge face huge edge allow.,RTGS,USD,Corporate,Everything opportunity sport summer huge cold.,0.89,41.79,4203747963079,Hall PLC,2024-04-12,5661766313,Credit,5550583191286
199902.87,Difference check it word table special stand.,ACH,EUR,Retail,Various cell produce performance.,1.23,82.46,9982685040313,Bishop-Ross,2024-02-03,5013266238,Credit,3805769245790
23344.41,Listen sea question full drug lose blue cold degree.,ACH,GBP,Retail,Hear need anything.,1.22,38.09,1018436171769,"Soto, Williams and Cole",2024-05-15,5424256222,Cash,7164123339466
138869.93,Inside join soon while house work.,ACH,GBP,Corporate,Suggest table black rich skin idea.,0.88,15.6,9586856394085,Greene LLC,2024-06-17,3365281468,Credit,4503226788698
183225.34,Federal real interview very trade art war effort material news nature reflect.,SWIFT,EUR,Corporate,Song rule finish traditional now necessary.,0.85,50.93,7074816734437,"Hernandez, Cole and Wood",2024-06-23,3342007876,Cash,6568449532114
87451.96,Wind move rock chair student machine morning speak door manager trade place work.,ACH,GBP,Corporate,Tonight Republican cut really network.,0.93,91.25,3352435266091,"Williams, Bartlett and Jennings",2024-02-10,8501744861,Cash,4320738615136
53669.77,Run score should strategy marriage begin left.,RTGS,EUR,Retail,Result claim heart upon ok.,1.07,1.27,4527927772951,"Jones, Wells and Ward",2024-05-19,5073330574,Credit,9942896047063
183780.71,East visit arrive store rule choose respond.,ACH,EUR,Retail,Benefit time show administration view each.,0.52,61.81,6620210708338,"Clark, Thomas and Robinson",2024-06-05,1946586072,Cash,2164191583984
57996.51,Investment beat phone cost second part answer.,SWIFT,GBP,Corporate,Go if attorney business son cut.,0.55,52.88,8545396913227,"Harrington, Wong and Allen",2024-04-01,5988150980,Credit,6655586195738
